sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00023945578231292518,0.9888643438581459,111356.56141854078
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0002469387755102041,0.9890381963539494,109618.03646050594
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.000254421768707483,0.9892082354045587,107917.64595441289
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0002619047619047619,0.9893745362477728,106254.63752227172
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00026938775510204085,0.9895371756426811,104628.24357318933
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0002768707482993197,0.9896962312757717,103037.68724228335
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00028435374149659865,0.9898517812760843,101482.18723915692
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0002918367346938776,0.9900039038192322,99960.96180767799
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00029931972789115646,0.9901526768041814,98473.23195818602
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0003068027210884354,0.9902981775898374,97018.22410162596
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0003142857142857143,0.9904404827809784,95595.17219021596
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0003217687074829932,0.9905796680550402,94203.31944959836
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0003292517006802721,0.9907158080228192,92841.91977180778
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00033673469387755106,0.9908489761174124,91510.23882587595
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00034421768707482993,0.990979244506713,90207.55493286958
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00035170068027210886,0.9911066840255981,88933.15974401905
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.0003591836734693878,0.9912313641245961,87686.35875403885
10000000.0,0.00036666666666666667,3.666666666666667e-06,2.0,0.00036666666666666667,0.9913533528323661,86466.47167633858
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0,0.0,0.0
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,7.482993197278912e-06,0.9773579994422849,226420.00557715146
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,1.4965986394557824e-05,0.9679769617458346,320230.38254165417
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,2.2448979591836737e-05,0.9660726360765992,339273.63923400786
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,2.9931972789115647e-05,0.9659562484099687,340437.5159003126
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,3.741496598639456e-05,0.9664958016981291,335041.983018709
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,4.4897959183673474e-05,0.9673183366477845,326816.63352215453
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,5.2380952380952384e-05,0.9682674298239569,317325.7017604314
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,5.9863945578231295e-05,0.9692675939173921,307324.0608260785
